Word,Part of Speech,Phonetic,Definition 1,Example 1
Imbroglio,NOUN,imˈbrōlyō,"An extremely confused, complicated, or embarrassing situation.",“What started as a simple misunderstanding about carpool duty turned into a full-blown family imbroglio by the weekend.”
Frivol,VERB,ˈfriv(ə)l,Behave in a frivolous way.,"“He knew he should start packing, but it felt better to frivol on the porch with a cup of tea.”"
Partita,NOUN,pärˈtēdə,"A suite, typically for a solo instrument or chamber ensemble.",“The quartet opened the concert with a lively partita that set the tone for the evening.”
Makebate,NOUN,ˈmākˌbāt,One that excites contentions and quarrels.,“We knew better than to invite the neighborhood makebate to the party.”
Grandiloquent,ADJECTIVE,ɡranˈdiləkw(ə)nt,"Pompous or extravagant in language, style, or manner, especially in a way that is intended to impress.","“The speech, while intended to be motivational, came across as grandiloquent with too many pretentious words and phrases.”"
Oenophile,NOUN,ˈēnəˌfīl,A connoisseur of wines.,“His extensive knowledge of vineyards and varietals confirmed he was a true oenophile.”
Synchronicity,NOUN,ˌsiNGkrəˈnisədē,The simultaneous occurrence of events which appear significantly related but have no discernible causal connection.,“It was a true matter of synchronicity when I happened to run into Samantha just as I’d been thinking about her.”
Banausic,ADJECTIVE,bəˈnôzik,Not operating on a refined or elevated level; mundane.,"“My sister left her banausic desk job to pursue photography, hoping for a more creative life.”"
Buckram,NOUN,ˈbəkrəm,"Coarse linen or other cloth stiffened with gum or paste, and used as interfacing and in bookbinding.",“The tailor added buckram to the collar so it would hold its shape through countless wears.”
Shellback,NOUN,ˈSHelˌbak,"An old or experienced sailor, especially one who has crossed the equator.","“After decades at sea, he proudly earned the nickname of shellback from the ship’s crew.”"
Chatoyant,ADJECTIVE,SHəˈtoiənt,"(Of a gem, especially when cut en cabochon) Showing a band of bright reflected light caused by aligned inclusions in the stone.","“The jeweler held the chatoyant stone under the lamp, and a band of light rippled across its surface.”"
Lacuna,NOUN,ləˈko͞onə,An unfilled space or interval; a gap.,“The report had a noticeable lacuna where the data for last quarter should’ve been.”
Mycology,NOUN,mīˈkäləjē,The scientific study of fungi.,“My sister traces her interest in mycology back to her early reading of the mushroom hunt in ‘Anna Karenina.'”
Ersatz,ADJECTIVE,ˈerˌsäts,"(Of a product) Made or used as a substitute, typically an inferior one, for something else.","“This ersatz meat tastes surprisingly similar to beef, but my vegetarian sister loves it.”"
Dynamism,NOUN,ˈdīnəˌmizəm,The quality of being characterized by vigorous activity and progress.,“The mural captures the neighborhood’s dynamism through bold colors and sweeping lines.”
Bêtise,NOUN,beˈtēz,A foolish or ill-timed remark or action.,“The chef shrugged at the bêtise of burning the first batch and simply started again.”
Liaise,VERB,lēˈāz,"Establish a working relationship, typically in order to cooperate on a matter of mutual concern.",“I’ll liaise with the event staff to make sure the venue is set up before guests arrive.”
Persiflage,NOUN,ˈpərsəˌfläZH,Light and slightly contemptuous mockery or banter.,"“At the office holiday party, the persiflage at our table kept everyone laughing through the long speeches.”"
Avoirdupois,NOUN,ˌavərdəˈpoiz,"A system of weights based on a pound of 16 ounces or 7,000 grains, widely used in English-speaking countries.","“The cookbook listed measurements in avoirdupois weights, but I need to convert them to my measuring cups.”"
Ephemeral,NOUN,əˈfem(ə)rəl,An ephemeral plant.,"“The beautiful pink glow at sunset was ephemeral, dissolving before we could take a photo.”"
Ultracrepidarian,NOUN,ˌəltrəkrepəˈderēən,A person who expresses opinions on matters outside the scope of their knowledge or expertise.,"“I try not to sit next to my ultracrepidarian aunt at family dinners, because she thinks she knows more about my job than I do.”"
Winsome,ADJECTIVE,ˈwinsəm,Attractive or appealing in appearance or character.,“The actor’s winsome grin became his trademark on and off the screen.”
Submontane,ADJECTIVE,ˌsəbmänˈtān,Passing under or through mountains.,“We set up camp in a submontane meadow where the mountains loomed just beyond the treeline.”
Portage,NOUN,ˈpôrdij,The carrying of a boat or its cargo between two navigable waters.,"“We rented canoes for the weekend, but none of us realized the portage between lakes was nearly a mile uphill.”"
Dirigible,NOUN,dəˈrijəb(ə)l,"A dirigible airship, especially one with a rigid structure.",“The environmental group proposed using solar-powered dirigibles to monitor remote wildlife areas without disturbing the animals.”
Verdant,ADJECTIVE,ˈvərd(ə)nt,(Of countryside) Green with grass or other rich vegetation.,"“After weeks of rain, the once-barren hills transformed into a verdant landscape.”"
Genteel,ADJECTIVE,jenˈtēl,"Polite, refined, or respectable, often in an affected or ostentatious way.",“His genteel tone masked a sharp wit that few noticed until it was too late.”
Synchronicity,NOUN,ˌsiNGkrəˈnisədē,The simultaneous occurrence of events which appear significantly related but have no discernible causal connection.,“It was a true matter of synchronicity when I happened to run into Samantha just as I’d been thinking about her.”
Bon vivant,NOUN,ˌbän vēˈvänt,A person who enjoys a sociable and luxurious lifestyle.,“Make sure to include Sally and Trina on the guest list — they’re such bon vivants.”
Trove,NOUN,trōv,A store of valuable or delightful things.,“Her playlist was a trove of forgotten ’90s hits.”
